,location,total_sqft,bath,price,BHK
1790,Electronic City,870.0,2.0,39.5,2
1792,Electronic City,1374.0,2.0,72.0,3
1794,Electronic City,1128.0,2.0,65.35,2
1795,Electronic City,755.0,1.0,34.0,2
1799,Electronic City,1563.0,3.0,91.84,3
1802,Electronic City,1025.0,2.0,54.5,2
1804,Electronic City,1350.0,3.0,58.0,3
1807,Electronic City,1700.0,3.0,75.0,3
1809,Electronic City,1128.0,2.0,68.0,2
1810,Electronic City,700.0,1.0,35.0,1
1811,Electronic City,1360.0,2.0,70.5,3
1813,Electronic City,1571.0,3.0,105.0,3
1817,Electronic City,1600.0,3.0,104.0,3
1819,Electronic City,1500.0,2.0,100.0,3
1823,Electronic City,1152.0,2.0,65.0,2
1824,Electronic City,1070.0,2.0,60.0,2
1825,Electronic City,1128.0,2.0,65.5,2
1826,Electronic City,1200.0,2.0,59.0,2
1827,Electronic City,1152.0,2.0,65.75,2
1829,Electronic City,1060.0,2.0,58.0,2
1830,Electronic City,1025.0,2.0,54.1,2
1835,Electronic City,1500.0,2.0,78.0,3
1836,Electronic City,1213.0,2.0,59.32,2
1837,Electronic City,1575.0,3.0,90.0,3
1838,Electronic City,435.0,1.0,19.5,1
1839,Electronic City,1449.0,3.0,100.0,3
1841,Electronic City,1125.0,2.0,58.0,2
1843,Electronic City,1575.0,3.0,101.0,3
1845,Electronic City,550.0,1.0,12.0,1
1846,Electronic City,919.0,2.0,40.0,2
1847,Electronic City,1500.0,2.0,78.25,3
1848,Electronic City,1363.0,2.0,79.0,2
1850,Electronic City,1108.0,2.0,67.15,2
1852,Electronic City,1128.0,2.0,65.7,2
1854,Electronic City,1060.0,2.0,51.0,2
1856,Electronic City,1650.0,3.0,100.0,3
1858,Electronic City,1025.0,2.0,49.0,2
1860,Electronic City,1449.0,3.0,90.0,3
1862,Electronic City,1070.0,2.0,58.0,2
1863,Electronic City,1210.0,2.0,54.0,2
1864,Electronic City,1500.0,2.0,75.0,3
1866,Electronic City,2435.0,4.0,119.0,4
1871,Electronic City,1073.0,2.0,60.0,2
1872,Electronic City,1070.0,2.0,47.0,2
1874,Electronic City,1296.0,2.0,65.0,2
1875,Electronic City,1140.0,2.0,70.93,2
1880,Electronic City,2093.0,4.0,104.0,4
1881,Electronic City,1025.0,2.0,53.9,2
1882,Electronic City,940.0,2.0,54.0,2
1883,Electronic City,435.0,1.0,21.0,1
1884,Electronic City,1500.0,2.0,77.5,3
1885,Electronic City,1631.0,3.0,80.0,3
1886,Electronic City,1355.0,2.0,67.0,2
1889,Electronic City,435.0,1.0,22.0,1
1891,Electronic City,1039.0,2.0,50.0,2
1892,Electronic City,770.0,1.0,39.9,2
1894,Electronic City,605.0,1.0,13.31,1
1896,Electronic City,530.0,1.0,13.5,1
1897,Electronic City,1070.0,2.0,53.0,2
1900,Electronic City,1571.0,3.0,83.0,3
1902,Electronic City,1350.0,3.0,66.0,3
1903,Electronic City,1652.0,3.0,110.0,3
1907,Electronic City,1128.0,2.0,65.58,2
1908,Electronic City,1355.0,2.0,97.6,2
1909,Electronic City,635.0,1.0,28.0,1
1910,Electronic City,1128.0,2.0,65.4,2
1912,Electronic City,1355.0,2.0,72.9,2
1915,Electronic City,1609.0,3.0,115.0,3
1916,Electronic City,770.0,1.0,35.0,2
1917,Electronic City,865.0,2.0,40.0,2
1920,Electronic City,630.0,1.0,40.5,1
1923,Electronic City,605.0,1.0,22.0,1
1925,Electronic City,1070.0,2.0,48.0,2
1927,Electronic City,1360.0,2.0,70.0,3
1928,Electronic City,1128.0,2.0,65.45,2
1929,Electronic City,890.0,2.0,40.0,2
1933,Electronic City,1360.0,2.0,58.0,3
1936,Electronic City,630.0,1.0,33.7,1
1939,Electronic City,1400.0,3.0,90.0,3
1940,Electronic City,1287.0,3.0,55.0,3
1941,Electronic City,1258.0,2.0,85.5,2
1942,Electronic City,1386.0,2.0,85.0,2
1943,Electronic City,550.0,1.0,27.0,1
1944,Electronic City,1025.0,2.0,50.0,2
1946,Electronic City,1342.0,2.0,72.0,2
1947,Electronic City,1275.0,3.0,70.0,3
1948,Electronic City,770.0,1.0,38.0,2
1952,Electronic City,1644.0,3.0,92.59,3
1953,Electronic City,1250.0,2.0,62.0,2
1955,Electronic City,418.0,1.0,12.0,1
1956,Electronic City,1128.0,2.0,64.8,2
1959,Electronic City,1060.0,2.0,55.0,2
1960,Electronic City,710.0,1.0,40.42,1
1963,Electronic City,1275.0,3.0,63.43,3
1964,Electronic City,1518.0,3.0,75.0,3
1965,Electronic City,1090.0,2.0,31.48,1
1968,Electronic City,1353.0,2.0,75.0,2
1969,Electronic City,1128.0,2.0,67.0,2
1970,Electronic City,1070.0,2.0,57.0,2
1971,Electronic City,1700.0,3.0,90.0,3
1973,Electronic City,750.0,1.0,35.0,1
1974,Electronic City,1210.0,2.0,55.0,2
1978,Electronic City,1615.0,3.0,97.0,3
1980,Electronic City,1221.0,2.0,68.0,2
1982,Electronic City,1500.0,3.0,73.0,3
1983,Electronic City,995.0,2.0,48.0,2
1984,Electronic City,1342.0,2.0,90.0,2
1985,Electronic City,1128.0,2.0,63.5,2
1986,Electronic City,589.0,1.0,29.0,1
1989,Electronic City,1575.0,3.0,94.5,3
1990,Electronic City,1025.0,2.0,54.0,2
1991,Electronic City,1500.0,2.0,70.0,3
1993,Electronic City,2093.0,4.0,134.0,4
1995,Electronic City,1355.0,2.0,73.0,2
1996,Electronic City,1360.0,2.0,64.99,3
1997,Electronic City,1060.0,2.0,52.0,2
1998,Electronic City Phase II,1056.0,2.0,39.07,2
1999,Electronic City Phase II,1020.0,2.0,30.6,2
2000,Electronic City Phase II,1069.0,2.0,45.0,2
2001,Electronic City Phase II,630.0,1.0,28.35,1
2003,Electronic City Phase II,1000.0,2.0,25.0,2
2004,Electronic City Phase II,1090.0,2.0,28.34,2
2005,Electronic City Phase II,2225.0,4.0,98.88,4
2006,Electronic City Phase II,630.0,1.0,40.0,1
2007,Electronic City Phase II,2400.0,3.0,150.0,2
2009,Electronic City Phase II,775.0,2.0,38.0,2
2010,Electronic City Phase II,1266.0,2.0,59.0,2
2011,Electronic City Phase II,1000.0,2.0,28.88,2
2014,Electronic City Phase II,972.0,2.0,44.0,2
2015,Electronic City Phase II,1031.0,2.0,55.0,2
2016,Electronic City Phase II,1003.0,2.0,40.6,2
2017,Electronic City Phase II,1031.0,2.0,56.35,2
2019,Electronic City Phase II,1205.0,2.0,75.0,2
2020,Electronic City Phase II,1395.0,2.0,62.78,3
2021,Electronic City Phase II,1160.0,2.0,33.5,2
2022,Electronic City Phase II,1065.0,2.0,30.75,2
2023,Electronic City Phase II,1219.0,2.0,61.25,2
2025,Electronic City Phase II,1790.0,3.0,100.0,3
2026,Electronic City Phase II,769.0,2.0,40.0,2
2027,Electronic City Phase II,900.0,2.0,32.5,2
2029,Electronic City Phase II,993.0,2.0,50.0,3
2031,Electronic City Phase II,1070.0,2.0,45.0,2
2034,Electronic City Phase II,1140.0,2.0,33.06,2
2035,Electronic City Phase II,1089.0,2.0,32.67,2
2036,Electronic City Phase II,1253.0,2.0,65.8,2
2038,Electronic City Phase II,975.0,2.0,45.0,3
2039,Electronic City Phase II,6000.0,4.0,260.0,4
2040,Electronic City Phase II,1116.0,2.0,37.0,2
2041,Electronic City Phase II,1125.0,2.0,29.25,2
2042,Electronic City Phase II,1165.0,2.0,30.29,2
2043,Electronic City Phase II,3550.0,2.0,167.5,4
2044,Electronic City Phase II,1031.0,2.0,53.0,2
2046,Electronic City Phase II,1065.0,2.0,30.88,2
2048,Electronic City Phase II,1549.0,3.0,80.0,3
2049,Electronic City Phase II,1065.0,2.0,56.13,2
2050,Electronic City Phase II,920.0,2.0,26.0,2
2051,Electronic City Phase II,1140.0,2.0,33.84,2
2052,Electronic City Phase II,1219.0,2.0,61.26,2
2053,Electronic City Phase II,1252.0,2.0,65.0,3
2054,Electronic City Phase II,1125.0,2.0,32.49,2
2055,Electronic City Phase II,1286.0,2.0,69.0,2
2057,Electronic City Phase II,1140.0,2.0,32.92,2
2058,Electronic City Phase II,1116.0,2.0,40.0,2
2059,Electronic City Phase II,1150.0,3.0,46.0,3
2060,Electronic City Phase II,1192.0,2.0,47.0,3
2062,Electronic City Phase II,1020.0,2.0,32.0,2
2063,Electronic City Phase II,1900.0,3.0,97.0,4
2064,Electronic City Phase II,1020.0,2.0,27.43,2
2065,Electronic City Phase II,1025.0,2.0,26.65,2
2066,Electronic City Phase II,1020.0,2.0,29.45,2
2068,Electronic City Phase II,1140.0,2.0,28.5,2
2069,Electronic City Phase II,1200.0,2.0,34.65,2
2070,Electronic City Phase II,1160.0,2.0,52.2,2
2071,Electronic City Phase II,1244.0,2.0,55.0,2
2072,Electronic City Phase II,1160.0,2.0,33.51,2
2075,Electronic City Phase II,972.0,2.0,40.0,2
2077,Electronic City Phase II,1090.0,2.0,31.48,2
2078,Electronic City Phase II,650.0,1.0,35.0,1
2079,Electronic City Phase II,1155.0,2.0,57.0,2
2080,Electronic City Phase II,1800.0,3.0,92.0,3
2081,Electronic City Phase II,1300.0,2.0,28.0,2
2082,Electronic City Phase II,1940.0,4.0,116.0,3
2083,Electronic City Phase II,1025.0,2.0,29.6,2
2084,Electronic City Phase II,829.0,2.0,22.8,2
2085,Electronic City Phase II,2187.5,4.0,105.0,4
2086,Electronic City Phase II,1252.0,2.0,67.0,2
2087,Electronic City Phase II,1125.0,2.0,32.63,2
2088,Electronic City Phase II,1140.0,2.0,34.0,2
2089,Electronic City Phase II,1135.0,2.0,46.0,2
2090,Electronic City Phase II,1305.0,3.0,65.0,3
2091,Electronic City Phase II,1165.0,2.0,33.64,2
2092,Electronic City Phase II,1336.0,2.0,50.35,3
2093,Electronic City Phase II,575.0,1.0,16.75,1
2094,Electronic City Phase II,925.0,2.0,49.82,3
2095,Electronic City Phase II,1065.0,2.0,30.76,2
2096,Electronic City Phase II,911.0,2.0,26.5,2
2097,Electronic City Phase II,1031.0,2.0,54.48,2
2100,Electronics City Phase 1,1475.0,3.0,78.29,3
2101,Electronics City Phase 1,1490.0,3.0,78.8,3
2102,Electronics City Phase 1,1113.27,2.0,53.0,2
2103,Electronics City Phase 1,1490.0,3.0,84.0,3
2105,Electronics City Phase 1,1160.0,2.0,52.0,2
2110,Electronics City Phase 1,1015.0,2.0,56.0,2
2112,Electronics City Phase 1,1515.0,2.0,80.91,3
2113,Electronics City Phase 1,995.0,2.0,46.0,2
2114,Electronics City Phase 1,1555.0,2.0,82.0,3
2115,Electronics City Phase 1,1340.0,2.0,75.0,2
2116,Electronics City Phase 1,650.0,1.0,23.0,1
2117,Electronics City Phase 1,1124.0,2.0,55.0,3
2118,Electronics City Phase 1,1175.0,2.0,57.0,2
2119,Electronics City Phase 1,755.0,1.0,42.41,1
2120,Electronics City Phase 1,580.0,1.0,27.0,1
2121,Electronics City Phase 1,940.0,2.0,49.0,2
2122,Electronics City Phase 1,1335.0,2.0,67.0,2
2123,Electronics City Phase 1,1113.12,2.0,55.0,2
2125,Electronics City Phase 1,1350.0,3.0,71.0,3
2127,Electronics City Phase 1,995.0,2.0,49.8,2
2128,Electronics City Phase 1,635.0,1.0,26.0,1
2129,Electronics City Phase 1,1190.0,2.0,68.0,2
2131,Electronics City Phase 1,1450.0,3.0,72.54,3
2132,Electronics City Phase 1,360.0,1.0,16.9,1
2133,Electronics City Phase 1,638.0,1.0,32.0,1
2134,Electronics City Phase 1,1175.0,2.0,64.98,2
2135,Electronics City Phase 1,585.0,1.0,21.0,1
2136,Electronics City Phase 1,1200.0,2.0,59.76,2
2137,Electronics City Phase 1,1145.0,2.0,54.0,2
2138,Electronics City Phase 1,1125.0,2.0,65.0,2
2140,Electronics City Phase 1,1550.0,2.0,82.0,3
2142,Electronics City Phase 1,865.0,2.0,40.0,2
2146,Electronics City Phase 1,1800.0,3.0,93.0,3
2147,Electronics City Phase 1,1314.0,2.0,60.0,2
2148,Electronics City Phase 1,1170.0,2.0,62.0,2
2149,Electronics City Phase 1,1450.0,3.0,79.0,3
2150,Electronics City Phase 1,940.0,2.0,48.0,2
2151,Electronics City Phase 1,940.0,2.0,44.0,2
2152,Electronics City Phase 1,1300.0,2.0,67.0,2
2153,Electronics City Phase 1,1028.0,2.0,51.0,2
2155,Electronics City Phase 1,1205.0,2.0,60.0,2
2157,Electronics City Phase 1,1305.0,2.0,67.0,2
2158,Electronics City Phase 1,755.0,1.0,30.12,1
2159,Electronics City Phase 1,1175.0,2.0,60.0,2
2160,Frazer Town,1700.0,3.0,180.0,3
2161,Frazer Town,1305.0,3.0,95.45,3
2162,Frazer Town,1870.0,3.0,185.0,3
2163,Frazer Town,1750.0,3.0,150.0,3
2165,Frazer Town,2000.0,3.0,200.0,3
2166,Frazer Town,3500.0,4.0,330.0,3
2167,Frazer Town,2350.0,4.0,285.0,3
2168,Frazer Town,1550.0,2.0,140.0,2
2169,Frazer Town,1900.0,4.0,145.0,3
2170,Frazer Town,2560.0,3.0,265.0,3
2171,Frazer Town,2400.0,3.0,260.0,3
2172,Frazer Town,2560.0,3.0,288.0,3
2173,Frazer Town,3436.0,5.0,341.0,4
2175,Frazer Town,1315.0,2.0,140.0,2
2176,Frazer Town,1706.0,3.0,154.0,3
2177,Frazer Town,2079.0,3.0,220.0,3
2178,Frazer Town,3435.0,2.0,341.0,4
2179,Frazer Town,3436.0,5.0,345.0,4
2180,Frazer Town,3100.0,3.0,400.0,3
2181,Frazer Town,5400.0,3.0,400.0,3
2182,Frazer Town,1180.0,2.0,105.0,2
2183,Frazer Town,2900.0,4.0,325.0,4
2184,Frazer Town,1870.0,3.0,180.0,3
2185,Frazer Town,896.0,1.0,100.0,1
2186,Frazer Town,1420.0,2.0,120.0,2
2187,GM Palaya,1820.0,2.0,86.0,3
2188,GM Palaya,1225.0,2.0,47.0,2
2189,GM Palaya,1140.0,2.0,48.95,2
2190,GM Palaya,1315.0,2.0,65.0,3
2191,GM Palaya,1315.0,3.0,65.0,3
2192,GM Palaya,1315.0,3.0,64.0,3
2193,GM Palaya,1735.0,3.0,70.0,3
2194,GM Palaya,1643.0,2.0,70.0,3
2195,GM Palaya,675.0,1.0,35.0,1
2196,Garudachar Palya,1325.0,2.0,60.8,3
2197,Garudachar Palya,1060.0,2.0,48.7,2
2198,Garudachar Palya,1150.0,2.0,52.75,2
2199,Garudachar Palya,1295.0,2.0,59.5,3
2200,Garudachar Palya,1320.0,2.0,60.6,3
2201,Garudachar Palya,1150.0,2.0,52.8,2
2202,Garudachar Palya,1060.0,2.0,48.5,2
2203,Garudachar Palya,1150.0,2.0,52.5,2
2204,Garudachar Palya,1060.0,2.0,48.66,2
2205,Garudachar Palya,1150.0,2.0,52.0,2
2206,Garudachar Palya,1154.0,2.0,51.8,2
2208,Giri Nagar,2400.0,4.0,400.0,4
2209,Giri Nagar,1800.0,3.0,252.0,3
2210,Giri Nagar,1350.0,3.0,240.0,3
2211,Giri Nagar,3000.0,4.0,375.0,6
2212,Giri Nagar,2400.0,6.0,400.0,6
2213,Giri Nagar,4000.0,3.0,750.0,4
2214,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2215,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2216,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2217,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2218,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2219,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2220,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2221,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2222,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2223,Gottigere,1100.0,2.0,40.0,2
2224,Gottigere,967.0,2.0,45.0,2
2225,Gottigere,1618.0,3.0,82.5,3
2226,Gottigere,1222.0,2.0,63.0,2
2228,Gottigere,1300.0,3.0,65.0,3
2229,Gottigere,950.0,2.0,38.0,2
2230,Gottigere,1153.0,2.0,48.5,2
2232,Gottigere,1460.0,2.0,65.0,3
2233,Gottigere,1500.0,3.0,70.0,3
2234,Gottigere,1621.0,3.0,72.0,3
2235,Gottigere,990.0,2.0,40.0,2
2236,Gottigere,1235.0,2.0,63.0,2
2237,Gottigere,1385.0,3.0,64.0,3
2238,Gottigere,1000.0,2.0,35.0,2
2239,Gottigere,1010.0,2.0,35.0,2
2242,Gottigere,1435.0,2.0,62.0,3
2243,Gottigere,945.0,2.0,45.0,2
2245,Gottigere,2500.0,3.0,120.0,4
2246,Gottigere,1230.0,2.0,52.0,3
2247,Gottigere,1120.0,2.0,50.0,2
2248,Gottigere,1500.0,3.0,63.0,3
2249,Gottigere,1200.0,2.0,40.0,2
2250,Gottigere,1280.0,2.0,61.0,2
2251,Gottigere,1205.0,2.0,56.58,2
2252,Gottigere,1170.0,2.0,40.0,2
2253,Gottigere,3000.0,3.0,132.0,4
2254,Gottigere,1613.0,3.0,72.0,3
2255,Gottigere,1110.0,2.0,36.25,2
2256,Gottigere,1245.0,2.0,59.0,2
2257,Gottigere,1200.0,2.0,50.0,2
2258,Green Glen Layout,1670.0,3.0,120.0,3
2259,Green Glen Layout,3250.0,4.0,230.0,4
2260,Green Glen Layout,1776.42,3.0,105.0,3
2261,Green Glen Layout,940.0,2.0,56.8,2
2262,Green Glen Layout,1075.0,2.0,60.0,2
2263,Green Glen Layout,1715.0,3.0,115.0,3
2264,Green Glen Layout,1751.0,2.0,115.0,3
2265,Green Glen Layout,1750.0,3.0,130.0,3
2266,Green Glen Layout,1530.0,3.0,105.0,3
2267,Green Glen Layout,1752.0,3.0,105.0,3
2268,Green Glen Layout,1680.0,4.0,95.0,3
2269,Green Glen Layout,1728.0,3.0,125.0,3
2270,Green Glen Layout,1645.0,3.0,110.0,3
2271,Green Glen Layout,1517.0,3.0,100.0,3
2272,Green Glen Layout,3150.0,4.0,218.0,4
2274,Green Glen Layout,1750.0,3.0,120.0,3
2275,Green Glen Layout,1751.0,3.0,115.0,3
2276,Green Glen Layout,1750.0,3.0,105.0,3
2277,Green Glen Layout,1885.0,3.0,135.0,3
2278,Green Glen Layout,1715.0,3.0,120.0,3
2279,Green Glen Layout,1623.29,2.0,105.0,3
2280,Green Glen Layout,1715.0,3.0,105.0,3
2281,Green Glen Layout,1600.0,3.0,105.0,3
2282,Green Glen Layout,1717.0,3.0,125.0,3
2283,Green Glen Layout,1250.0,2.0,75.0,2
2284,Green Glen Layout,1715.0,3.0,112.0,3
2285,Gubbalala,1470.0,2.0,82.0,3
2286,Gubbalala,1745.0,3.0,104.0,3
2287,Gubbalala,1745.0,3.0,115.0,3
2288,Gubbalala,1745.0,3.0,110.0,3
2289,Gubbalala,1650.0,3.0,71.0,3
2290,Gubbalala,2570.0,4.0,141.0,5
2291,Gubbalala,1205.0,2.0,70.0,2
2292,Gubbalala,1435.0,2.0,80.0,3
2293,Gubbalala,1475.0,2.0,80.0,2
2295,Gubbalala,1100.0,2.0,49.5,2
2296,Gubbalala,1060.0,2.0,46.0,2
2297,Gubbalala,2000.0,3.0,125.0,3
2299,Gunjur,1140.0,2.0,43.0,2
2300,Gunjur,1356.0,2.0,66.0,3
2301,Gunjur,1600.0,3.0,75.0,3
2302,Gunjur,2000.0,3.0,95.0,4
2303,Gunjur,1140.0,2.0,49.11,2
2304,Gunjur,1195.0,2.0,44.0,2
2305,Gunjur,1190.0,2.0,40.0,2
2306,Gunjur,1457.0,2.0,60.0,2
2307,Gunjur,1080.0,2.0,41.0,2
2310,Gunjur,1175.0,2.0,43.48,2
2311,Gunjur,1362.0,3.0,62.63,3
2312,Gunjur,1071.0,2.0,51.0,2
2313,Gunjur,1063.0,2.0,40.0,2
2314,Gunjur,1235.0,2.0,52.76,2
2315,Gunjur,1588.0,2.0,90.0,3
2316,Gunjur,1235.0,2.0,44.5,2
2317,HAL 2nd Stage,1490.0,2.0,300.0,3
2318,HAL 2nd Stage,2100.0,3.0,252.0,3
2319,HAL 2nd Stage,600.0,3.0,145.0,2
2320,HAL 2nd Stage,2700.0,3.0,500.0,3
2321,HAL 2nd Stage,2040.0,4.0,500.0,5
2322,HBR Layout,2800.0,2.0,200.0,3
2323,HBR Layout,1722.0,3.0,95.0,3
2324,HBR Layout,1200.0,4.0,120.0,4
2325,HBR Layout,1200.0,2.0,60.0,2
2326,HBR Layout,1004.0,2.0,49.0,2
2327,HBR Layout,1783.0,3.0,125.0,3
2328,HBR Layout,1656.0,3.0,90.0,3
2329,HBR Layout,1089.0,2.0,60.0,2
2330,HBR Layout,1700.0,3.0,110.0,3
2331,HBR Layout,1198.0,2.0,65.0,2
2332,HBR Layout,1200.0,4.0,115.0,4
2333,HBR Layout,1200.0,2.0,120.0,2
2334,HBR Layout,1832.0,3.0,160.0,3
2335,HRBR Layout,1374.0,2.0,95.0,2
2336,HRBR Layout,1440.0,2.0,98.0,2
2338,HRBR Layout,2800.0,3.0,250.0,3
2339,HRBR Layout,1210.0,2.0,75.0,2
2340,HRBR Layout,1265.0,2.0,78.0,2
2341,HRBR Layout,1170.0,2.0,75.0,2
2343,HRBR Layout,1900.0,3.0,90.0,4
2344,HRBR Layout,1625.0,3.0,120.0,3
2345,HRBR Layout,1301.0,2.0,120.0,2
2346,HRBR Layout,1145.0,2.0,68.5,2
2347,HRBR Layout,1300.0,2.0,90.0,2
2349,HSR Layout,1372.0,2.0,68.0,2
2352,HSR Layout,1467.0,2.0,55.0,2
2353,HSR Layout,1140.0,2.0,46.0,2
2354,HSR Layout,1372.0,2.0,61.0,2
2355,HSR Layout,1750.0,3.0,95.0,3
2357,HSR Layout,1027.0,2.0,44.0,2
2358,HSR Layout,1650.0,3.0,110.0,3
2359,HSR Layout,1185.0,2.0,60.0,2
2360,HSR Layout,1127.0,2.0,68.0,2
2361,HSR Layout,1600.0,2.0,115.0,3
2362,HSR Layout,1145.0,2.0,48.0,2
2363,HSR Layout,1009.0,2.0,56.0,2
2364,HSR Layout,2792.0,4.0,220.0,4
2365,HSR Layout,1300.0,2.0,98.0,2
2367,HSR Layout,1126.0,2.0,69.0,2
2369,HSR Layout,1145.0,2.0,46.0,2
2370,HSR Layout,1142.0,2.0,65.0,2
2371,HSR Layout,2020.0,3.0,160.0,3
2372,HSR Layout,1844.0,3.0,95.0,3
2373,HSR Layout,1203.0,2.0,72.0,2
2374,HSR Layout,4200.0,5.0,245.0,5
2375,HSR Layout,1100.0,2.0,44.0,2
2376,HSR Layout,1203.0,2.0,60.0,2
2377,HSR Layout,1120.0,2.0,70.0,2
2378,HSR Layout,1289.0,2.0,70.0,2
2380,Haralur Road,1240.0,2.0,70.0,2
2381,Haralur Road,1027.0,2.0,44.0,2
2383,Haralur Road,2650.0,4.0,198.0,4
2385,Haralur Road,1194.0,2.0,47.0,2
2386,Haralur Road,3385.0,5.0,260.0,4
2387,Haralur Road,1202.0,2.0,53.0,2
2388,Haralur Road,1056.0,2.0,61.0,2
2389,Haralur Road,1810.0,3.0,100.0,3
2390,Haralur Road,1194.0,2.0,46.0,2
2392,Haralur Road,1225.0,2.0,67.38,2
2393,Haralur Road,1920.0,3.0,115.0,3
2394,Haralur Road,1875.0,3.0,110.0,3
2395,Haralur Road,2750.0,4.0,220.0,4
2396,Haralur Road,2017.0,3.0,125.0,3
2397,Haralur Road,1092.0,2.0,44.0,2
2399,Haralur Road,1300.0,2.0,73.0,2
2400,Haralur Road,1850.0,3.0,110.0,3
2401,Haralur Road,3400.0,5.0,240.0,4
2402,Haralur Road,1464.0,2.0,56.0,2
2403,Haralur Road,1230.0,2.0,78.0,2
2404,Haralur Road,1000.0,2.0,44.0,2
2406,Haralur Road,1300.0,2.0,79.0,2
2407,Haralur Road,1444.0,2.0,80.0,3
2408,Haralur Road,1088.0,2.0,68.0,2
2409,Haralur Road,1225.0,2.0,70.0,2
2410,Haralur Road,1000.0,2.0,78.0,2
2411,Haralur Road,1830.0,3.0,101.0,3
2412,Haralur Road,1810.0,3.0,126.0,3
2413,Haralur Road,1520.0,2.0,96.0,3
2414,Haralur Road,1520.0,2.0,125.0,3
2415,Haralur Road,1300.0,2.0,75.0,2
2416,Haralur Road,2017.0,2.0,125.0,3
2419,Haralur Road,1520.0,2.0,90.0,3
2420,Haralur Road,1300.0,2.0,60.0,2
2421,Haralur Road,1985.0,3.0,130.0,3
2422,Haralur Road,1255.0,2.0,90.0,3
2423,Haralur Road,1056.0,2.0,60.0,2
2424,Haralur Road,1245.0,2.0,62.0,2
2425,Haralur Road,1140.0,2.0,58.0,2
2426,Haralur Road,1027.0,2.0,43.0,2
2427,Haralur Road,1560.0,3.0,90.0,3
2428,Haralur Road,1520.0,2.0,85.0,3
2429,Haralur Road,1650.0,3.0,100.0,3
2431,Haralur Road,1510.0,3.0,83.05,3
2432,Haralur Road,1056.0,2.0,65.0,2
2433,Haralur Road,575.0,1.0,38.0,1
2434,Haralur Road,1850.0,3.0,120.0,3
2435,Haralur Road,560.0,1.0,45.0,1
2437,Haralur Road,1730.0,3.0,95.0,3
2438,Haralur Road,1817.0,3.0,110.0,3
2439,Haralur Road,1225.0,2.0,77.0,2
2440,Haralur Road,1285.0,2.0,78.0,2
2441,Haralur Road,1225.0,2.0,67.48,2
2442,Haralur Road,1225.0,2.0,69.84,2
2443,Haralur Road,1200.0,2.0,46.0,2
2444,Haralur Road,1315.0,2.0,85.0,2
2446,Haralur Road,4694.0,5.0,375.0,4
2447,Haralur Road,1309.0,2.0,82.0,2
2448,Haralur Road,1027.0,1.0,44.0,2
2450,Haralur Road,1230.0,2.0,67.65,2
2451,Haralur Road,1255.0,3.0,90.0,3
2452,Haralur Road,1735.0,3.0,97.0,3
2453,Haralur Road,1810.0,3.0,97.83,3
2454,Haralur Road,1810.0,3.0,112.0,3
2455,Harlur,1508.0,2.0,77.0,2
2456,Harlur,1752.12,3.0,135.0,3
2459,Harlur,1709.0,3.0,150.0,3
2460,Harlur,1174.0,2.0,69.0,2
2461,Harlur,1033.0,2.0,49.0,2
2462,Harlur,1197.0,2.0,84.0,2
2463,Harlur,1757.0,3.0,132.0,3
2464,Harlur,1174.0,2.0,76.0,2
2465,Harlur,1754.0,3.0,125.0,3
2466,Harlur,1290.0,2.0,85.0,2
2467,Harlur,1752.12,3.0,116.0,3
2468,Harlur,1754.0,3.0,135.0,3
2469,Harlur,1754.0,3.0,124.0,3
2470,Harlur,1152.0,2.0,69.0,2
2471,Harlur,1290.0,2.0,87.0,2
2472,Harlur,1749.0,3.0,115.0,3
2473,Harlur,3385.0,4.0,260.0,4
2474,Harlur,2240.0,5.0,155.0,3
2475,Harlur,1758.0,3.0,133.0,3
2477,Harlur,1197.0,2.0,79.0,2
2478,Harlur,1174.0,2.0,78.0,2
2481,Harlur,1200.0,2.0,52.0,2
2482,Harlur,1749.0,3.0,112.0,3
2483,Harlur,1174.0,2.0,75.0,2
2484,Harlur,1750.0,3.0,136.0,3
2485,Harlur,1620.0,3.0,110.0,3
2488,Harlur,1459.0,3.0,135.0,3
2489,Harlur,1762.0,3.0,133.0,3
2490,Harlur,1756.0,3.0,131.0,3
2491,Harlur,1755.0,3.0,130.0,3
2492,Harlur,1864.0,3.0,140.0,3
2493,Harlur,1331.0,2.0,88.0,2
2494,Harlur,1752.12,3.0,133.0,3
2495,Harlur,1133.0,2.0,55.0,2
2496,Harlur,1756.0,3.0,128.0,3
2497,Harlur,1749.0,3.0,120.0,3
2498,Harlur,1197.0,2.0,82.0,2
2499,Harlur,1303.0,2.0,90.0,2
2500,Harlur,1754.0,3.0,132.0,3
2501,Harlur,1756.0,3.0,134.0,3
2502,Harlur,1197.0,2.0,78.0,2
2503,Harlur,1290.0,2.0,89.9,2
2504,Harlur,1386.0,2.0,85.0,2
2505,Harlur,1174.0,2.0,74.0,2
2507,Harlur,1755.0,3.0,115.0,3
